,session,code,group,id_in_group,round,arrival,choice,certainty,bonus,strategy,simple,cutoff,fault,payoff,exp
3513,tnn4atf7,g7xx1b70,12,2,7,8.1,1,0.99,-0.01,,,,,0.0,AMT
3514,tnn4atf7,556swypq,12,1,8,9.0,0,0.875,-0.27,,,,,0.0,AMT
3515,tnn4atf7,g7xx1b70,12,2,8,9.1,0,0.99,-0.02,,,,,0.0,AMT
3516,tnn4atf7,556swypq,12,1,9,8.0,1,0.99,-0.01,,,,,0.0,AMT
3517,tnn4atf7,g7xx1b70,12,2,9,8.1,1,0.99,-0.01,,,,,0.0,AMT
3518,tnn4atf7,556swypq,12,1,10,8.4,1,0.99,-9.21,I simply tried to calculate where my colleague might go based on my own arrival time.,1.0,8.4,2.0,0.0,AMT
3519,tnn4atf7,g7xx1b70,12,2,10,8.5,0,0.99,-9.21,Picked what I would do if i were the other person figuring out the times they would get to work...,1.0,8.4,2.0,0.0,AMT
3520,tnn4atf7,azjwoivf,13,1,1,8.4,0,0.99,-9.21,,,,,0.0,AMT
3521,tnn4atf7,r8lplw84,13,2,1,8.3,1,0.625,-1.96,,,,,7.46,AMT
3522,tnn4atf7,azjwoivf,13,1,2,9.0,0,0.625,-0.94,I only guessed,2.0,8.0,3.0,0.0,AMT
3523,tnn4atf7,r8lplw84,13,2,2,8.5,0,0.75,-0.58,i used my gut  Thank you for the great pay!,1.0,6.0,3.0,7.46,AMT
3524,tnn4atf7,o008lq3u,14,1,1,9.1,0,0.99,-0.02,,,,,0.6400000000000006,AMT
3525,tnn4atf7,rrt53yj1,14,2,1,9.0,0,0.99,-0.02,,,,,0.6400000000000006,AMT
3526,tnn4atf7,o008lq3u,14,1,2,9.0,0,0.99,-0.02,,,,,0.6400000000000006,AMT
3527,tnn4atf7,rrt53yj1,14,2,2,8.5,0,0.99,-0.02,,,,,0.6400000000000006,AMT
3528,tnn4atf7,o008lq3u,14,1,3,9.0,0,0.99,-0.02,,,,,0.6400000000000006,AMT
3529,tnn4atf7,rrt53yj1,14,2,3,8.5,0,0.99,-0.02,,,,,0.6400000000000006,AMT
3530,tnn4atf7,o008lq3u,14,1,4,8.3,1,0.99,-0.01,,,,,0.6400000000000006,AMT
3531,tnn4atf7,rrt53yj1,14,2,4,8.2,1,0.99,-0.01,,,,,0.6400000000000006,AMT
3532,tnn4atf7,o008lq3u,14,1,5,9.1,0,0.99,-0.02,,,,,0.6400000000000006,AMT
3533,tnn4atf7,rrt53yj1,14,2,5,9.0,0,0.99,-0.02,,,,,0.6400000000000006,AMT
3534,tnn4atf7,o008lq3u,14,1,6,9.1,0,0.99,-0.02,,,,,0.6400000000000006,AMT
3535,tnn4atf7,rrt53yj1,14,2,6,9.0,0,0.99,-0.02,,,,,0.6400000000000006,AMT
3536,tnn4atf7,o008lq3u,14,1,7,8.3,1,0.99,-0.01,,,,,0.6400000000000006,AMT
3537,tnn4atf7,rrt53yj1,14,2,7,8.2,1,0.99,-0.01,,,,,0.6400000000000006,AMT
3538,tnn4atf7,o008lq3u,14,1,8,8.4,1,0.99,-9.21,,,,,0.6400000000000006,AMT
3539,tnn4atf7,rrt53yj1,14,2,8,8.5,0,0.99,-9.21,,,,,0.6400000000000006,AMT
3540,tnn4atf7,o008lq3u,14,1,9,8.5,0,0.99,-0.02,,,,,0.6400000000000006,AMT
3541,tnn4atf7,rrt53yj1,14,2,9,9.0,0,0.99,-0.02,,,,,0.6400000000000006,AMT
3542,tnn4atf7,o008lq3u,14,1,10,8.0,1,0.99,-0.01,the time was a huge factor,1.0,8.5,,0.6400000000000006,AMT
3543,tnn4atf7,rrt53yj1,14,2,10,8.1,1,0.99,-0.01,I looked at the time and thought about what they would do if they really arrived at that time of the morning.,1.0,8.3,,0.6400000000000006,AMT
3544,tnn4atf7,qz2wmp3f,15,1,1,8.3,1,0.625,-0.47,,,,,7.890000000000001,AMT
3545,tnn4atf7,d7k0t6rd,15,2,1,8.4,1,0.5,-0.69,,,,,9.19,AMT
3546,tnn4atf7,qz2wmp3f,15,1,2,8.2,1,0.875,-0.13,,,,,7.890000000000001,AMT
3547,tnn4atf7,d7k0t6rd,15,2,2,8.3,1,0.99,-0.01,,,,,9.19,AMT
3548,tnn4atf7,qz2wmp3f,15,1,3,8.5,1,0.75,-0.29,,,,,7.890000000000001,AMT
